"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6RNEBB3H","bookSection","2010","Martínez, Genaro J.; Adamatzky, Andrew; Morita, Kenichi; Margenstern, Maurice","Computation with Competing Patterns in Life-Like Automaton","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_27","We study a Life-like cellular automaton rule B2/S2345 where a cell in state ‘0’ takes state ‘1’ if it has exactly two neighbors in state ‘1’ and the cell remains in the state ‘1’ if it has between two and five neighbors in state ‘1.’ This automaton is a discrete analog spatially extended chemical media, combining both properties of sub-excitable and precipitating chemical media. When started from random initial configuration B2/S2345 automaton exhibits chaotic behavior. Configurations with low density of state ‘1’ show emergence of localized propagating patterns and stationary localizations. We construct basic logical gates and elementary arithmetical circuits by simulating logical signals with mobile localizations reaction propagating geometrically restricted by stationary non-destructible localizations. Values of Boolean variables are encoded into two types of patterns — symmetric (False) and asymmetric (True) patterns — which compete for the ‘empty’ space when propagate in the channels. Implementations of logical gates and binary adders are illustrated explicitly.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:43","547-572","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_27","","/Users/robbie/Zotero/storage/ICT9VBJE/Martínez et al. - 2010 - Computation with Competing Patterns in Life-Like A.pdf","","","Cellular Automaton; Arithmetical Circuit; Excitable Medium; Full Adder; Medium Circuit","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9KM7HJSL","bookSection","2010","Evans, Kellie Michele","Larger than Life’s Extremes: Rigorous Results for Simplified Rules and Speculation on the Phase Boundaries","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_11","Larger than Life (LtL), is a four-parameter family of two-dimensional cellular automata that generalizes John Conway’s Game of Life (Life) to large neighborhoods and general birth and survival thresholds. LtL was proposed by David Griffeath in the early 1990s to explore whether Life might be a clue to a critical phase point in the threshold-range scaling limit. The LtL family of rules includes Life as well as a rich set of two-dimensional rules, some of which exhibit dynamics vastly different from Life. In this chapter we present rigorous results and conjectures about the ergodic classifications of several sets of “simplified” LtL rules, each of which has a property that makes the rule easier to analyze. For example, these include symmetric rules such as the threshold voter automaton and the anti-voter automaton, monotone rules such as the threshold growth models, and others. We also provide qualitative results and speculation about LtL rules on various phase boundaries and summarize results and open questions about our favorite “Life-like” LtL rules.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:43","179-221","","","","","","Larger than Life’s Extremes","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_11","","","","","Cellular Automaton; Cellular Automa; Global Death; Global Survival; Product Measure","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP7PA37Q","bookSection","2010","Owens, Nick; Stepney, Susan","The Game of Life Rules on Penrose Tilings: Still Life and Oscillators","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_18","John Horton Conway’s Game of Life is a simple two-dimensional, two state cellular automaton (CA), remarkable for its complex behaviour. That behaviour is known to be very sensitive to a change in the CA rules. Here we continue our investigations into its sensitivity to changes in the lattice, by the use of an aperiodic Penrose tiling lattice.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:43","331-378","","","","","","The Game of Life Rules on Penrose Tilings","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_18","","","","","Neighbourhood Graph; Penrose Tiling; Rhomb Tiling; Rotor Cell; Underlying Period","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHKLF9MA","bookSection","2010","Gotts, Nick","Emergent Complexity in Conway’s Game of Life","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_20","It is shown that both small, finite patterns and random infinite very low density (“sparse”) arrays of the Game of Life can produce emergent structures and processes of great complexity, through ramifying feedback networks and cross-scale interactions. The implications are discussed: it is proposed that analogous networks and interactions may have been precursors to natural selection in the real world.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:43","389-436","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_20","","","","","Cellular Automaton; Feedback Network; Global Density; Growth Cluster; Quadratic Growth","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZ3LMW38","bookSection","2010","Martínez, Genaro J.; Adamatzky, Andrew; McIntosh, Harold V.","Localization Dynamics in a Binary Two-Dimensional Cellular Automaton: The Diffusion Rule","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_16","We study a two-dimensional cellular automaton (CA), called Diffusion Rule, which exhibits diffusion-like dynamics of propagating patterns. In computational experiments we discover a wide range of mobile and stationary localizations (gliders, oscillators, glider guns, puffer trains), analyze spatio-temporal dynamics of collisions between gliders, and discuss possible applications in unconventional computing.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:43","291-315","","","","","","Localization Dynamics in a Binary Two-Dimensional Cellular Automaton","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_16","","/Users/robbie/Zotero/storage/LLR3VEJ5/Martínez et al. - 2010 - Localization Dynamics in a Binary Two-Dimensional .pdf","","","Cellular Automaton; Cellular Automaton Model; Chaos Soliton Fractal; Memory Unit; Mobile Localization","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CPAPAGKG","bookSection","2010","Peper, Ferdinand; Adachi, Susumu; Lee, Jia","Variations on the Game of Life","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_13","The Game of Life is defined in the framework of Cellular Automata with discrete states that are updated synchronously. Though this in itself has proven to be fertile ground for research, it leaves open questions regarding the robustness of the model with respect to variations in updating methods, cell state representations, neighborhood definitions, etc. These questions may become important when the ideal conditions under which the Game of Life is supposed to operate cannot be satisfied, like in physical realizations. This chapter describes three models in which Game of Life-like behavior is obtained, even though some basic tenets are violated.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:43","235-255","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_13","","","","","Cellular Automaton; Transition Rule; Cell State; Neighboring Cell; Succession State","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRHDWQTA","journalArticle","1999","Blok, Hendrik J.; Bergersen, Birger","Synchronous versus asynchronous updating in the ``game of Life''","Physical Review E","","","10.1103/PhysRevE.59.3876","https://link.aps.org/doi/10.1103/PhysRevE.59.3876","The rules for the “game of Life” are modified to allow for only a random fraction of sites to be updated in each time step. Under variation of this fraction from the parallel updating limit down to the Poisson limit, a critical phase transition is observed that explains why the game of Life appears to obey self-organized criticality. The critical exponents are calculated and the static exponents appear to belong to the directed percolation universality class in 2+1 dimensions. The dynamic exponents, however, are nonuniversal, as seen in other systems with multiple absorbing states.","1999-04-01","2019-10-20 19:29:11","2019-10-20 19:29:11","2019-10-20 19:29:11","3876-3879","","4","59","","Phys. Rev. E","","","","","","","","","","","","","APS","","","<p>An implementation where only a random fraction of sites are to be updated on each iteration of the game.</p>","/Users/robbie/Zotero/storage/KGJGHLIE/PhysRevE.59.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XBU6582S","bookSection","1999","Durand, Bruno; Róka, Zsuzsanna","The Game of Life: Universality Revisited","Cellular Automata: A Parallel Model","978-94-015-9153-9","","","https://doi.org/10.1007/978-94-015-9153-9_2","The Game of Life was created by J.H. Conway. One of the main features of this game is its universality. We prove in this paper this universality with respect to several computational models: boolean circuits, Turing machines, and two-dimensional cellular automata. These different points of view on Life’s universality are chosen in order to clarify the situation and to simplify the original proof. We also present precise definitions of these 3 universality properties and explain the relations between them.","1999","2019-10-20 19:31:07","2019-10-20 19:31:07","2019-10-20 19:31:07","51-74","","","","","","The Game of Life","Mathematics and Its Applications","","","","Springer Netherlands","Dordrecht","en","","","","","Springer Link","","DOI: 10.1007/978-94-015-9153-9_2","<p>Explanation of different applications of Turing completeness (boolean circuits etc.) within the Game of Life</p> <p> </p>","","","","Cellular Automaton; Turing Machine; Cayley Graph; Initial Configuration; Logical Gate","Delorme, M.; Mazoyer, J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"URX6LWR8","webpage","1970","Gardner, Martin","Conway's Game of Life: Scientific American, October 1970","The fantastic combinations of John Conway's new solitaire game ""life""","","","","https://www.ibiblio.org/lifepatterns/october1970.html","","1970-10","2019-10-21 09:06:30","2019-10-21 09:07:03","2019-10-21 09:06:30","","","","","","","","","","","","","","","","","","","","","","","/Users/robbie/Zotero/storage/VB5HXTXS/october1970.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4MA9HKA","journalArticle","1970","Gardner, Martin","Mathematical Games","Scientific American","","0036-8733","","https://www.jstor.org/stable/24927642","","1970","2019-10-21 09:25:49","2019-10-31 17:14:37","2019-10-21 09:25:49","120-123","","4","223","","","","","","","","","","","","","JSTOR","","JSTOR","","","<p>Original Scientific American article that popularised the Game of Life</p> <p><em>The fantastic combinations of John Conway's new solitaire game ""life""</em></p>","/Users/robbie/Zotero/storage/2XP8ICGE/Gardner - 1970 - MATHEMATICAL GAMES.pdf; /Users/robbie/Zotero/storage/KZPGCEM3/Gardner - 1970 - MATHEMATICAL GAMES.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUZB7IDM","journalArticle","1971","Gardner, Martin","Mathematical Games","Scientific American","","0036-8733","","https://www.jstor.org/stable/24927730","","1971","2019-10-21 09:32:31","2019-10-31 17:14:32","2019-10-21 09:32:31","112-117","","2","224","","","","","","","","","","","","","JSTOR","","JSTOR","","","<p>Second Scientific American article that popularised the Game of Life</p> <p><em>On cellular automata, self-reproduction, the Garden of Eden and the game ""life""</em></p>","/Users/robbie/Zotero/storage/IU9T79E7/2019 - MATHEMATICAL GAMES.pdf; /Users/robbie/Zotero/storage/5WPUCC83/Gardner - 1971 - MATHEMATICAL GAMES.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2797NKRP","webpage","2010","Damerow, Julia","The Game of Life, by John Horton Conway | The Embryo Project Encyclopedia","The Game of Life, by John Horton Conway","","","","https://embryo.asu.edu/pages/game-life-john-horton-conway","","2010-06-24","2019-10-21 10:14:15","2019-10-21 10:14:45","2019-10-21 10:14:15","","","","","","","","","","","","","","","","","","","","","","","/Users/robbie/Zotero/storage/RSGIZFIW/game-life-john-horton-conway.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HG56IXCE","webpage","2018","Bettilyon, Tyler Elliott","The Game Of Life (Simulation)","","","","","https://tebs-game-of-life.com/single-large/single-large.html","","2018","2019-10-21 10:15:31","2019-10-31 16:47:34","2019-10-21 10:15:31","","","","","","","","","","","","","","","","","","","","","","","/Users/robbie/Zotero/storage/UYCUKBG2/single-large.html","","Visualisation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KT6UVMG7","journalArticle","","Bays, Carter","Candidates for the Game of Life in Three Dimensions","","","","","","The game ""Life"" is defined in a strict sense and three candidates for t hree-d imensional versions are presented. One of these versions can be structured to contain an infinite number of parallel t wo-d imens ion al universes, each of which allows for t he evolution of Conway life objects. Various oscillators are described, and a few interesting collisions between translating oscillator s (""g lide rs"") and other objects are mentioned.","","2019-10-31 16:21:13","2019-10-31 16:21:13","","28","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/robbie/Zotero/storage/5HQDEZJS/Bays - Candidates for the Game of Life in Three Dimension.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2XGZKNDT","webpage","","","Golly - LifeWiki","","","","","https://conwaylife.com/wiki/Golly","","","2019-10-31 16:23:03","2019-10-31 16:23:03","2019-10-31 16:23:03","","","","","","","","","","","","","","","","","","","","","","","/Users/robbie/Zotero/storage/FTF4HA4P/Golly.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDHE5RKQ","webpage","2018","Weldon, Jodie; Laventure, Aimee","Conway's Game of Life Visualization","Devpost","","","","be","Entry for HackUVic 2018","2018-02-11","2019-10-31 16:35:48","2020-08-08 16:17:52","2019-10-31 16:35:48","","","","","","","","","","","","","","en","","","","","","","","<p>Visualisation of Game of Life using JS, a hackathon project!</p>","/Users/robbie/Zotero/storage/3ESDMT7H/game-of-life-tkn5zw.html","","Visualisation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LUG77S9","webpage","2013","Vanderplas, Jake","Conway's Game of Life in Python | Pythonic Perambulations","","","","","https://jakevdp.github.io/blog/2013/08/07/conways-game-of-life/","","2013-08-07","2019-10-31 16:38:46","2019-10-31 16:59:08","2019-10-31 16:38:46","","","","","","","","","","","","","","","","","","","","","","<p>Visualisation of Game of Life using Python</p> <p> </p>","/Users/robbie/Zotero/storage/W5BFE555/conways-game-of-life.html","","Visualisation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZVUSXCZQ","webpage","2006","Trevorrow, Andrew; Rokicki, Tom","Golly Game of Life Home Page","","","","","http://golly.sourceforge.net/","","2006-06-18","2019-10-31 16:40:18","2019-10-31 17:10:07","2019-10-31 16:40:18","","","","","","","","","","","","","","","","","","","","","","","/Users/robbie/Zotero/storage/SAIKK6KS/golly.sourceforge.net.html","","Visualisation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWTEY7IB","computerProgram","2013","Vanderplas, Jake","jakevdp/JSAnimation","","","","","https://github.com/jakevdp/JSAnimation","[DEPRECATED] An IPython notebook-compatible Javascript/HTML viewer for matplotlib animations","2013-11-23","2019-10-31 17:00:59","2019-10-31 17:02:25","2019-10-31 17:00:58","","","","","","","","","","","","","","","BSD-2-Clause","","","","GitHub","","original-date: 2013-05-17T08:12:53Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jupyter Notebook","","","","","","","","",""
"TCJVXPJY","journalArticle","1984","Gosper, R. Wm.","Exploiting regularities in large cellular spaces","Physica D: Nonlinear Phenomena","","0167-2789","10.1016/0167-2789(84)90251-3","http://www.sciencedirect.com/science/article/pii/0167278984902513","We informally describe a computer algorithm for simulating deterministic cellular automata. It grows “smarter” by selectively recording intermediate computations while operating on a compressed representation of the cellular space-time. No information is lost because configurations do not actually evolve. Instead, the simulator accomodates random exploration of place-times in the future of initial configurations embedded in an effectively unbounded void. We use Conway's Life automaton as a model, but the idea extends easily to other geometries, dimensions, and number of states.","1984-01-01","2019-10-31 17:29:21","2019-10-31 17:29:21","2019-10-31 17:29:21","75-80","","1","10","","Physica D: Nonlinear Phenomena","","","","","","","","en","","","","","ScienceDirect","","","","/Users/robbie/Zotero/storage/VB6AYTYI/0167278984902513.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTRMJWU4","journalArticle","1997","Abelson, Harold; Sussman, Gerald Jay; Sussman, Julie","Structure and interpretation of computer programs, (second edition)","Computers & Mathematics with Applications","","08981221","10.1016/S0898-1221(97)90051-1","https://linkinghub.elsevier.com/retrieve/pii/S0898122197900511","","1997-02","2019-10-31 17:38:12","2019-10-31 17:38:50","2019-10-31 17:38:12","133","","4","33","","Computers & Mathematics with Applications","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/robbie/Zotero/storage/SAU2TCLD/1997 - Structure and interpretation of computer programs,.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUEJQ34N","webpage","","Owen, Jenny","Gosper's Algorithm Explained","Jenny Owen's website","","","","https://jennyhasahat.github.io/hashlife.html","","","2019-10-31 18:00:49","2019-10-31 18:01:12","2019-10-31 18:00:49","","","","","","","","","","","","","","","","","","","","","","","/Users/robbie/Zotero/storage/728HQPBR/hashlife.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTBXX5RW","journalArticle","","Garrett, Jesse James","Ajax: A New Approach to Web Applications","","","","","","","","2019-10-31 19:04:07","2019-10-31 19:05:00","2019-10-31","5","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/robbie/Zotero/storage/GA8KHQRE/Garrett - Ajax A New Approach to Web Applications.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RP9NJLSE","conferencePaper","2007","Zepeda, J. Sergio; Chapa, Sergio V.","From Desktop Applications Towards Ajax Web Applications","2007 4th International Conference on Electrical and Electronics Engineering","","","10.1109/ICEEE.2007.4345005","","Ajax is a set of different technologies that work together to create new and powerful Web applications. Ajax is demonstrating its usefulness in real world applications. The most important Internet companies as: Google, Yahoo, Amazon, Microsoft, are developing rich Web applications based on Ajax. Many developers do not know how to use these technologies to build Ajax Applications. In this paper, we present an overview about Ajax. Here, we discuss the term Ajax and the technologies used. Also, we show how Ajax is working inside, and how the technologies work together to achieve a rich behavior.","2007-09","2019-10-31 19:07:59","2019-10-31 19:07:59","","193-196","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","/Users/robbie/Zotero/storage/T5TKXAJ5/4345005.html; /Users/robbie/Zotero/storage/NBFN62SM/Zepeda and Chapa - 2007 - From Desktop Applications Towards Ajax Web Applica.pdf","","","Ajax; Ajax Web applications; Amazon; Application software; Asynchronous communication; Cascading style sheets; Computer science; desktop applications; Explosions; Google; Information System; Information systems; Internet; Internet company; Java; Microsoft; Software engineering; Software Engineering; Web; Web 2.0; Web applications; XML; Yahoo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2007 4th International Conference on Electrical and Electronics Engineering","","","","","","","","","","","","","","",""
"DGUZ57RE","webpage","1990","Berners-Lee, Tim; Cailliau, Robert","WorldWideWeb: Proposal for a HyperText Project","","","","","https://www.w3.org/Proposal.html","The attached document describes in more detail a Hypertext project. HyperText is a way to link and access information of various kinds as a web of nodes in which the user can browse at will. It provides a single user-interface to large classes of information (reports, notes, data-bases, computer documentation and on-line help). We propose a simple scheme incorporating servers already available at CERN. The project has two phases: firstly we make use of existing software and hardware as well as implementing simple browsers for the user's workstations, based on an analysis of the requirements for information access needs by experiments. Secondly, we extend the application area by also allowing the users to add new material. Phase one should take 3 months with the full manpower complement, phase two a further 3 months, but this phase is more open-ended, and a review of needs and wishes will be incorporated into it. The manpower required is 4 software engineers and a programmer, (one of which could be a Fellow). Each person works on a specific part (eg. specific platform support). Each person will require a state-of-the-art workstation , but there must be one of each of the supported types. These will cost from 10 to 20k each, totalling 50k. In addition, we would like to use commercially available software as much as possible, and foresee an expense of 30k during development for one-user licences, visits to existing installations and consultancy. We will assume that the project can rely on some computing support at no cost: development file space on existing development systems, installation and system manager support for daemon software.","1990-11-12","2019-10-31 19:10:21","2019-10-31 19:12:24","2019-10-31 19:10:21","","","","","","","","","","","","","","","","","","","","","","","/Users/robbie/Zotero/storage/SQ33SECP/Proposal.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DV7WFS4B","book","2008","Crane, Dave; McCarthy, Phil","Comet and Reverse Ajax: The Next-Generation Ajax 2.0","","978-1-59059-998-3","","","","One of the most basic laws of a web application is that the client, not the server, must initiate any communication between the two. There are a number of commonuse cases where, ideally, the server would like to talk to the clientdashboards and monitoring apps, chat rooms and other collaborations, and progress reports on longrunning processes. Comet (a.k.a. Reverse Ajax) provides a mechanism for enabling this. Comet is moderately complex to implement. But this practical, handson book gets you going. In Part 1 of this book, we start by examining the use cases, and look at the simple alternatives to Comet and how far they can satisfy your needs. In some situations, though, only Comet will do. In Part 2, we demonstrate how to set up and run a Cometbased application. With this book, be a part of the next generation, Ajax 2.0. What youll learn Find out what Comet is and the trouble with HTTP. See how to achieve push, polling, piggybacking, raw sockets, and more. Explore some common use cases and a worked example on magnetic poetry. Understand what some issues and techniques are including the tworequest limit, pubsub and server architectures, and continuations vs. native Comet. Use implementations of Comet, including Cometd/Bayeaux, Reverse Ajax in DWR, and more. Work through the final example using DWR Framework. Who is this book for? This firstPress title is for Ajax developers who are intrigued by Comet/Reverse Ajax, key to the next generation Ajax 2.0.","2008","2019-10-31 19:20:25","2019-10-31 19:20:25","","","","","","","","Comet and Reverse Ajax","","","","","Apress","Berkely, CA, USA","","","","","","ACM Digital Library","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WXUSNJ52","blogPost","2006","Russell, Alex","Comet: Low Latency Data for the Browser","Infrequently Noted","","","","https://infrequently.org/2006/03/comet-low-latency-data-for-the-browser/","","2006-03-03","2019-10-31 19:25:19","2019-10-31 19:27:44","2019-10-31 19:25:19","","","","","","","Comet","","","","","","","","","","","","","","","","/Users/robbie/Zotero/storage/LQB72YYW/comet-low-latency-data-for-the-browser.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JP6KTMZJ","journalArticle","2012","Kachhwaha, Rajendra; Patni, Priyadarshi","Ajax Enabled Web Application Model with Comet Programming","International Journal of Engineering and Technology","","","","","For any web application the connectivity with the server is always a crucial issue. Correctly accessing the data and availability to user at the faster rate is the major issue. In classical approach, stateless request and response make refreshing of complete page. The AJAX engine improves the situation from complete reference to server to need base access. Ajax can help in making a new model, in which the single-page web interface is composed of individual components that can be updated/ replaced independently. In this paper AJAX enabled web application model with comet programming is introduced and tested. Two approaches for long polling are considered namely, using UpdatePanel and using JSON. The experimental results are compared using Firebug tool provided by Mozilla Firefox.","2012-07","2019-10-31 19:41:32","2019-10-31 19:41:53","","7","","7","2","","","","","","","","","","en","","","","","Zotero","","","","/Users/robbie/Zotero/storage/THF8DHXG/Kachhwaha and Patni - 2012 - Ajax Enabled Web Application Model with Comet Prog.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57EQK7PX","webpage","2008","Letuchy, Eugene","Facebook Chat","Facebook","","","","https://www.facebook.com/note.php?note_id=14218138919","","2008-05-14","2019-10-31 19:44:07","2019-10-31 19:48:44","2019-10-31 19:44:07","","","","","","","","","","","","","","","","","","","","","","","/Users/robbie/Zotero/storage/J3CQ3YW6/note.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5EZVUGD5","bookSection","2015","Gackenheimer, Cory","What Is React?","Introduction to React","978-1-4842-1245-5","","","https://doi.org/10.1007/978-1-4842-1245-5_1","You may have picked up this book with some level of JavaScript knowledge. There is also a high probability that you have an idea of what React is. This chapter highlights the key aspects of React as a framework, explains the problems it solves, and describes how you can utilize the features and the rest of the information contained in this book to better your web development practices and create complex, yet maintainable user interfaces using React.","2015","2019-10-31 20:42:38","2019-10-31 20:42:38","2019-10-31 20:42:38","1-20","","","","","","","","","","","Apress","Berkeley, CA","en","","","","","Springer Link","","DOI: 10.1007/978-1-4842-1245-5_1","","","","","Complex User Interface; Layout Code; React Application; React Component; User Interface","Gackenheimer, Cory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68FS37S3","book","2015","Gackenheimer, Cory","Introduction to React","","978-1-4842-1246-2 978-1-4842-1245-5","","","http://link.springer.com/10.1007/978-1-4842-1245-5","","2015","2019-10-31 20:44:03","2019-10-31 20:44:03","2019-10-31 20:44:03","","","","","","","","","","","","Apress","Berkeley, CA","en","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-1-4842-1245-5","","/Users/robbie/Zotero/storage/F477BMVH/Gackenheimer - 2015 - Introduction to React.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4862DK5X","conferencePaper","2013","Puranik, Darshan G.; Feiock, Dennis C.; Hill, James H.","Real-Time Monitoring using AJAX and WebSockets","2013 20th IEEE International Conference and Workshops on Engineering of Computer Based Systems (ECBS)","","","10.1109/ECBS.2013.10","","Asynchronous JavaScript and XML (AJAX) is the primary method for enabling asynchronous communication over the Web. Although AJAX is providing warranted real-time capabilities to the Web, it requires unconventional programming methods at the expense of extensive resource usage. WebSockets, which is an emerging protocol, has the potential to address many challenges with implementing asynchronous communication over the Web. However, there has been no independent study that quantitatively compares AJAX and WebSockets.This paper therefore provides two contributions to integrating Web technologies in real-time systems. First, it provides an experience report for adding real-time monitoring support over the Web to the Open-source Architecture of Software Instrumentation of Systems (OASIS), which is an open-source real-time instrumentation middleware for distributed real-time and embedded (DRE) systems. Secondly, its quantitatively compares using AJAX and WebSockets to stream collected instrumentation data over the Web. Results from our study show that a WebSockets server consumes 50% less network bandwidth than an AJAX server; a WebSockets client consumes memory at constant rate, not at an increasing rate; and WebSockets can send up to 215.44% more data samples when consuming the same amount network bandwidth as AJAX.","2013-04","2019-10-31 20:49:47","2019-10-31 20:49:47","","110-118","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","/Users/robbie/Zotero/storage/MMX773TM/6601579.html; /Users/robbie/Zotero/storage/JSSVIGSX/Puranik et al. - 2013 - Real-Time Monitoring using AJAX and WebSockets.pdf","","","Internet; Java; XML; AJAX; asynchronous JavaScript; Bandwidth; distributed real-time systems; DRE systems; embedded systems; Memory management; monitoring; OASIS; open-source architecture; Probes; protocol; protocols; Protocols; public domain software; real-time monitoring; Real-time systems; Software; software architecture; software instrumentation of systems; unconventional programming; WebSockets; World Wide Web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013 20th IEEE International Conference and Workshops on Engineering of Computer Based Systems (ECBS)","","","","","","","","","","","","","","",""
